country,director,genre,imdb_rating,imdb_url,title,url,year
,,,5.5,https://www.imdb.com/title/tt0326342/,,"https://ru.wikipedia.org/wiki/%D0%92_%D0%BE%D0%B4%D0%B8%D0%BD_%D0%BF%D1%80%D0%B5%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D1%8B%D0%B9_%D0%B4%D0%B5%D0%BD%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1976)",1976
СССР,Юрий Швырёв,,6.7,https://www.imdb.com/title/tt0065447/,,https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BB%D0%BB%D0%B0%D0%B4%D0%B0_%D0%BE_%D0%91%D0%B5%D1%80%D0%B8%D0%BD%D0%B3%D0%B5_%D0%B8_%D0%B5%D0%B3%D0%BE_%D0%B4%D1%80%D1%83%D0%B7%D1%8C%D1%8F%D1%85,1970
США,Мартин Скорсезе,,8.1,https://www.imdb.com/title/tt0081398/,,https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%88%D0%B5%D0%BD%D1%8B%D0%B9_%D0%B1%D1%8B%D0%BA,1980
СССР,Дзига Вертов,,6.8,https://www.imdb.com/title/tt0021375/,,https://ru.wikipedia.org/wiki/%D0%AD%D0%BD%D1%82%D1%83%D0%B7%D0%B8%D0%B0%D0%B7%D0%BC:_%D0%A1%D0%B8%D0%BC%D1%84%D0%BE%D0%BD%D0%B8%D1%8F_%D0%94%D0%BE%D0%BD%D0%B1%D0%B0%D1%81%D1%81%D0%B0,1930
,,,5.5,https://www.imdb.com/title/tt0040284/,,"https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D1%81%D0%BB%D0%B5%D0%B4%D0%BD%D0%B8%D0%B5_%D0%B4%D0%BD%D0%B8_%D0%9F%D0%BE%D0%BC%D0%BF%D0%B5%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1950)",1950
Польша,"Мечислав Кравич, [, 2, ]",,,https://www.imdb.com/title/tt1042397/,,"https://ru.wikipedia.org/wiki/%D0%A3%D0%BB%D0%B0%D0%BD%D1%8B,_%D1%83%D0%BB%D0%B0%D0%BD%D1%8B%E2%80%A6",1932
Великобритания,Альфред Хичкок,,6.3,https://www.imdb.com/title/tt0021165/,,https://ru.wikipedia.org/wiki/%D0%A3%D0%B1%D0%B8%D0%B9%D1%81%D1%82%D0%B2%D0%BE!,1930
США,Джон Кромвелл,,6.1,https://www.imdb.com/title/tt0021483/,,"https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BC_%D0%A1%D0%BE%D0%B9%D0%B5%D1%80_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1930)",1930
СССР,Александр Иванов,,,,,"https://ru.wikipedia.org/wiki/%D0%95%D1%81%D1%82%D1%8C,_%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD!",1930
СССР,Яков Протазанов,,7.4,https://www.imdb.com/title/tt0021268/,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B7%D0%B4%D0%BD%D0%B8%D0%BA_%D1%81%D0%B2%D1%8F%D1%82%D0%BE%D0%B3%D0%BE_%D0%98%D0%BE%D1%80%D0%B3%D0%B5%D0%BD%D0%B0,1930
